      t[ns]     EtO1x     EtO1y     EtO1z     EtO2x     EtO2y     EtO2z     EtO3x     EtO3y     EtO3z     EtO4x     EtO4y     EtO4z     EtO5x     EtO5y     EtO5z     EtO6x     EtO6y     EtO6z     EtO7x     EtO7y     EtO7z     EtO8x     EtO8y     EtO8z     EtO9x     EtO9y     EtO9z    EtO10x    EtO10y    EtO10z    EtO11x    EtO11y    EtO11z    EtO12x    EtO12y    EtO12z    EtO13x    EtO13y    EtO13z    EtO14x    EtO14y    EtO14z    EtO15x    EtO15y    EtO15z    EtO16x    EtO16y    EtO16z    EtO17x    EtO17y    EtO17z    EtO18x    EtO18y    EtO18z    EtO19x    EtO19y    EtO19z    EtO20x    EtO20y    EtO20z    EtO21x    EtO21y    EtO21z    EtO22x    EtO22y    EtO22z    EtO23x    EtO23y    EtO23z    EtO24x    EtO24y    EtO24z    EtO25x    EtO25y    EtO25z    EtO26x    EtO26y    EtO26z    EtO27x    EtO27y    EtO27z
       29.18    -59.56   -145.41   -169.56    320.02    170.74    -49.60   -108.22     64.59    149.78    -15.62    -96.22   -199.94      7.15   -218.42    115.73     43.11     58.70    217.73    177.51     21.83    317.23      7.85     26.76    118.61    245.97    196.36     39.33     25.54    129.80      1.81     83.97    309.96   -128.55    -11.86   -141.42    244.32     -1.75      6.38    -66.18    237.54   -117.51    138.04    181.77    311.45    193.16    106.31    188.84    -59.56     86.61    -16.41     49.52   -120.45   -155.17    -68.15    -54.73     66.71      6.35    -84.35    -45.38   -107.61     95.06     28.03     71.23    -84.43   -139.34     60.90    -21.05    366.32    128.01    -81.17      4.16     69.24     33.21    343.17     59.99     47.19    -31.81     88.99     30.88    -36.37     25.58
       29.10    -63.42   -139.68   -169.36    321.97    170.04    -50.96   -113.20     62.02    152.31    -18.67    -98.84   -201.28     10.94   -224.42    116.62     35.61     64.31    217.46    174.03     16.31    320.82      7.81     20.08    120.88    234.97    196.50     43.50     18.52    130.23      3.56     90.93    306.66   -126.33    -13.09   -143.39    243.42     -5.31     12.65    -71.03    233.49   -120.33    133.49    182.74    314.13    196.85    104.72    188.71    -63.65     87.15    -12.45     49.69   -114.68   -155.86    -68.59    -60.87     68.10      1.67    -85.68    -46.51   -104.77     93.32     29.82     68.30    -93.67   -143.45     57.03    -21.37    367.99    128.92    -80.04     10.11     65.86     34.78    342.42     59.24     45.51    -34.70     88.40     35.76    -40.47     27.42
       29.22    -67.37   -137.09   -173.38    319.06    170.12    -48.65   -110.85     60.00    147.35    -21.04    -93.43   -202.53     20.40   -227.98    114.83     34.80     69.11    219.11    171.88     15.21    316.33      6.57     22.81    122.75    235.82    194.91     38.40     17.91    134.27      0.06     94.70    312.53   -119.11    -16.76   -146.76    240.20     -2.68     11.50    -71.02    230.38   -124.45    136.05    178.54    315.54    195.40    107.80    185.52    -61.28     86.46    -17.88     46.98   -113.62   -160.34    -71.27    -67.54     69.02      0.38    -80.95    -48.15   -107.53     91.31     35.03     69.32    -94.19   -146.37     56.05    -19.07    369.40    124.19    -78.05      7.84     67.03     29.46    344.97     59.90     49.04    -36.41     91.63     40.83    -42.18     26.56
       29.24    -65.48   -137.56   -170.76    317.64    179.04    -50.29   -114.06     61.28    141.15    -19.68    -91.80   -201.83     21.66   -225.15    116.03     32.52     68.50    222.95    170.10     15.59    313.49      7.16     22.01    123.68    234.44    194.47     42.63     17.32    130.69     -4.16     96.71    310.08   -126.50    -20.56   -151.65    243.89     -0.64     11.86    -75.19    231.45   -123.72    137.88    179.50    313.32    197.77    101.87    183.34    -64.22     86.01    -20.73     47.89   -114.14   -159.50    -74.13    -64.28     68.11     -1.41    -83.67    -47.27   -108.54     89.07     35.53     74.51    -93.48   -145.02     54.48    -19.80    371.08    127.30    -86.51      8.02     67.47     30.39    346.90     63.24     50.85    -39.26     91.44     42.54    -40.16     28.68
       29.26    -61.21   -130.37   -173.40    316.22    180.78    -59.72   -110.22     51.71    147.53    -25.74    -90.89   -199.46     29.80   -227.66    120.22     34.99     64.63    222.70    172.94     19.66    313.14     10.74     23.56    128.20    236.98    197.03     41.30     18.63    127.31     -7.43     94.86    304.54   -123.67    -23.71   -151.28    240.34     -2.53      8.33    -74.72    232.04   -119.56    132.73    176.83    320.32    199.44    102.89    180.93    -67.08     81.80    -21.38     45.42   -116.00   -162.20    -73.25    -64.99     69.00      0.55    -84.97    -52.25   -101.57     89.42     32.14     68.83    -96.65   -143.27     57.41    -19.30    376.45    121.65    -87.80      7.53     67.04     30.35    350.06     62.80     55.20    -36.45     88.73     45.34    -42.56     38.47
       29.28    -64.41   -130.20   -176.74    319.90    177.93    -57.16   -111.32     51.28    149.87    -28.87    -94.31   -199.78     30.81   -231.69    120.89     35.31     67.63    219.70    174.08     17.19    314.22     10.08     14.36    127.68    236.30    192.95     39.83     15.17    119.90    -16.53     99.16    306.93   -125.10    -19.71   -151.95    238.59      2.09      3.68    -74.23    232.14   -121.39    133.77    179.59    316.60    200.11    106.67    177.32    -65.69     83.93    -19.88     45.63   -117.06   -154.35    -75.63    -70.96     69.81     -1.07    -83.62    -56.71   -103.32     89.96     33.05     68.77    -99.82   -141.68     49.82    -25.89    375.21    122.71    -88.51     11.72     71.02     31.93    345.90     60.79     59.83    -35.98     90.26     44.36    -39.77     37.77
       29.20    -61.32   -128.29   -179.81    314.38    171.20    -54.92   -107.36     45.18    149.60    -27.80    -91.28   -196.38     32.02   -228.68    124.80     36.89     71.59    228.50    185.13     21.40    312.95      8.25     15.00    131.38    236.37    198.19     38.48     23.57    129.59    -12.19    100.90    309.83   -127.72    -18.59   -155.68    238.31     -4.16      8.69    -77.48    235.47   -117.63    130.07    175.45    324.54    198.41    108.53    173.16    -67.05     81.76    -17.30     48.60   -115.63   -159.05    -76.20    -77.16     62.73     -1.82    -79.48    -55.39   -103.44     94.98     28.89     65.92   -100.53   -138.35     52.49    -28.31    371.62    129.62    -88.95     12.58     71.46     28.92    340.16     59.79     60.81    -33.02     88.47     42.69    -39.47     38.14
       29.32    -57.02   -127.70   -184.04    313.65    173.17    -48.01   -102.75     48.18    146.43    -28.83    -87.46   -200.98     35.10   -231.50    119.33     37.45     74.20    225.98    181.41     21.74    313.66      4.16     16.82    134.94    238.68    195.77     38.11     24.25    131.80     -8.91    101.54    303.60   -128.58    -22.23   -147.88    240.08     -2.45      7.21    -78.03    230.26   -119.40    136.48    177.41    324.99    208.43    108.47    176.23    -66.20     83.57    -19.95     47.96   -120.15   -157.50    -72.67    -78.37     64.67      3.31    -80.87    -52.95   -105.86     97.80     32.27     72.88    -93.40   -142.02     52.83    -28.40    360.40    124.42    -88.13      4.99     68.13     30.32    340.39     61.34     54.56    -40.54     80.79     44.66    -37.26     42.32
       29.34    -51.14   -129.76   -178.55    317.37    174.17    -48.86    -99.94     42.26    146.93    -26.92    -88.66   -195.59     36.46   -234.08    116.21     42.11     73.02    226.15    182.30     16.14    314.46     10.05     15.74    138.18    231.64    193.83     35.18     20.41    129.72     -9.96     99.20    304.07   -129.28    -20.36   -148.52    236.26     -3.60      6.89    -72.75    231.97   -115.64    136.17    179.77    321.41    208.32    111.42    178.78    -66.73     83.16    -24.87     42.39   -121.52   -164.05    -68.29    -87.60     68.61      3.39    -80.08    -48.96   -103.65     93.81     30.95     73.37    -89.52   -144.99     49.60    -22.97    360.87    132.98    -89.93      8.87     75.68     30.27    340.50     58.46     59.54    -30.40     77.27     46.99    -36.36     46.12
       29.36    -47.53   -134.91   -180.83    314.95    177.36    -56.58   -100.37     40.97    147.47    -27.33    -89.47   -194.37     37.75   -244.10    118.71     43.56     71.16    224.99    187.75     20.19    319.38      4.40     15.68    141.79    230.49    196.01     31.36     13.24    131.04     -7.64    101.15    312.54   -131.52    -15.50   -146.70    235.41      3.01     13.18    -73.76    233.82   -114.76    131.69    186.17    319.04    210.39    113.05    177.29    -70.05     85.48    -27.75     39.74   -121.52   -168.29    -70.45    -84.92     65.75      6.54    -73.85    -55.14   -105.84     88.61     29.02     74.38    -87.29   -142.26     46.73    -23.13    368.93    133.76    -87.79      4.22     72.00     31.97    341.41     61.48     60.04    -28.08     80.70     43.13    -39.67     48.89
       29.38    -51.31   -133.10   -180.31    315.26    175.45    -55.20    -98.75     42.29    152.68    -28.22    -88.67   -192.27     38.97   -246.74    119.63     47.99     73.87    219.90    183.26     26.94    320.01      2.04     18.78    143.45    233.55    195.82     31.57     12.15    131.10    -10.23     99.52    317.81   -122.48    -13.69   -148.17    234.28     -2.42     18.31    -75.78    236.17   -113.67    128.80    182.05    321.02    204.97    112.04    174.65    -66.94     90.72    -32.81     42.72   -125.98   -166.51    -69.59    -88.54     63.74      5.15    -74.71    -54.83   -107.60     86.14     32.32     79.62    -90.03   -137.95     45.14    -16.28    371.30    131.94    -85.93      6.60     74.93     30.17    338.98     61.18     61.87    -26.69     80.41     48.22    -44.68     50.67
       29.30    -48.11   -134.70   -180.81    315.42    175.03    -59.12    -97.61     41.43    148.93    -25.61    -89.40   -197.60     40.32   -246.03    119.72     44.53     77.26    229.71    187.44     24.82    315.34      3.81     18.96    144.22    236.77    195.10     34.29      9.03    130.27    -12.75     96.72    310.77   -129.28    -10.38   -146.70    239.68      1.35     15.63    -73.68    228.51   -112.76    134.17    183.86    317.25    205.91    106.69    179.54    -70.62     90.10    -39.78     39.13   -122.14   -162.22    -72.40    -89.25     63.27      2.40    -72.90    -56.07   -104.95     86.14     32.39     74.14    -91.69   -142.09     45.16    -17.17    369.94    132.32    -88.64      7.37     76.29     36.58    337.99     57.68     60.40    -26.19     79.66     43.39    -36.01     46.39
       29.42    -48.71   -129.65   -182.32    311.22    181.41    -57.24    -97.93     38.38    154.32    -29.28    -86.81   -194.75     40.92   -242.34    123.67     43.96     81.07    222.93    177.78     20.88    316.81      5.83     21.29    146.97    237.28    195.08     33.12     14.06    132.64    -13.67    100.55    315.28   -131.13    -11.04   -145.27    242.55     -2.70     10.44    -70.81    225.31   -115.77    130.34    185.78    316.41    203.64    102.52    177.96    -71.91     85.79    -43.84     41.25   -124.50   -166.94    -66.40    -86.58     61.11      5.07    -64.63    -58.12   -101.18     90.80     26.81     76.87    -92.28   -138.72     42.33    -25.89    370.01    134.68    -90.15      8.82     78.54     34.25    340.86     58.13     59.24    -26.25     74.39     49.20    -32.23     47.99
       29.44    -43.70   -130.57   -185.49    304.56    179.49    -58.47    -98.05     38.26    155.56    -23.47    -89.84   -194.83     41.56   -241.99    128.49     43.45     83.61    218.76    182.34     15.82    317.01      5.81     17.86    147.28    241.94    197.73     26.88     10.20    133.99    -17.26     98.76    318.37   -131.47     -9.85   -142.72    240.00      5.36      7.78    -66.77    225.40   -116.37    128.52    185.81    315.91    201.40    100.49    181.39    -77.73     84.78    -41.50     40.55   -123.33   -171.38    -69.68    -81.81     60.11     -0.58    -57.05    -56.08   -101.70     86.41     31.37     76.22    -96.62   -141.04     45.17    -27.39    368.70    130.73    -90.94     10.95     76.70     36.16    333.95     53.77     61.80    -31.66     75.44     49.57    -34.45     47.34
       29.46    -39.43   -138.24   -192.32    301.59    180.06    -58.12   -102.44     40.13    156.35    -25.41    -86.32   -188.37     43.61   -242.88    128.98     43.08     85.04    219.83    177.35     10.84    317.69      4.90     16.57    150.39    237.40    198.72     30.28     12.47    132.23    -16.72     99.28    315.06   -132.24    -10.69   -138.59    241.95      7.81     11.70    -65.34    221.86   -116.55    128.80    185.22    313.69    200.30     99.47    181.16    -72.80     87.59    -41.70     39.63   -120.93   -168.73    -68.85    -80.56     60.76     -4.89    -53.73    -54.23    -96.65     87.58     31.94     76.17    -93.28   -141.44     48.17    -23.72    369.00    132.07    -94.20      1.86     81.41     39.75    330.70     54.27     61.13    -34.77     72.57     52.47    -36.92     43.73
       29.48    -40.82   -139.07   -196.54    300.53    178.29    -60.76   -101.90     41.65    157.79    -29.35    -88.99   -188.22     42.40   -243.07    124.53     42.95     82.57    217.51    178.20      7.41    311.67      6.86     13.26    152.11    234.66    198.59     29.21     16.10    123.84    -22.92    102.07    312.04   -125.12    -18.53   -138.05    240.33      5.71     11.50    -64.24    218.13   -117.85    121.16    185.35    312.15    192.52     95.81    179.25    -71.37     87.80    -42.32     45.01   -121.30   -175.24    -67.94    -80.58     63.66     -6.66    -48.87    -52.87    -89.67     91.13     36.26     78.33    -87.26   -142.98     50.18    -22.86    370.21    134.56    -87.55      2.80     81.93     39.90    332.04     53.88     63.20    -37.62     72.38     56.74    -35.90     43.72
       29.40    -41.12   -134.05   -185.90    294.22    177.31    -59.08   -104.15     41.56    151.43    -30.08    -86.12   -194.24     46.63   -239.80    130.73     40.51     84.62    216.83    175.88      5.61    310.33      2.29     15.30    153.34    231.90    200.55     37.62     17.35    121.64    -21.78    100.91    307.64   -124.55    -18.17   -136.05    239.77      5.08     11.10    -64.35    217.19   -119.93    116.81    183.62    305.72    192.23     93.44    184.01    -74.21     89.20    -46.58     40.87   -117.96   -173.11    -72.49    -77.23     66.32     -6.89    -52.07    -55.20    -94.24     88.62     31.58     73.51    -82.52   -142.89     49.84    -26.71    364.13    132.48    -86.71      4.26     79.46     48.05    336.48     54.04     59.40    -42.19     77.72     50.86    -38.14     43.49
       29.52    -37.25   -129.74   -191.12    304.66    176.23    -58.89    -97.27     46.28    148.00    -35.53    -84.31   -194.81     46.43   -232.47    131.67     41.12     83.33    218.35    172.05      3.84    310.75      6.99      7.63    147.85    236.12    194.72     38.43     13.60    118.55    -18.58    101.66    306.32   -123.52    -11.16   -135.91    239.49      7.53     11.39    -60.27    212.65   -121.38    116.79    183.97    307.50    195.34     93.27    184.86    -75.67     89.92    -49.10     41.74   -125.94   -172.35    -72.97    -70.98     63.24    -10.10    -48.94    -54.39    -90.68     90.06     24.65     78.90    -82.78   -140.32     47.20    -25.54    362.42    128.98    -92.87      5.07     82.70     46.75    343.25     51.77     60.73    -44.69     80.45     60.43    -40.71     45.34
       29.54    -31.77   -130.33   -191.62    306.91    171.69    -63.92   -103.34     48.72    150.91    -45.53    -86.93   -192.72     46.87   -229.94    129.12     43.21     82.53    220.78    172.22      7.11    311.88      9.26      4.50    141.56    238.91    191.65     44.43     15.26    121.19    -19.59    105.19    306.21   -119.08    -11.54   -129.64    247.96      3.96     13.66    -61.44    218.51   -121.65    112.68    185.59    310.20    193.35     97.64    184.02    -79.05     81.53    -58.13     43.41   -125.14   -169.65    -71.20    -71.52     68.49    -12.82    -50.70    -57.58    -85.60     90.92     20.06     74.84    -84.28   -136.98     46.69    -35.53    364.23    133.80    -98.97      1.40     85.69     44.51    345.79     47.84     60.36    -44.04     78.25     54.89    -46.00     43.00
       29.56    -38.95   -129.15   -193.08    306.06    170.78    -61.55   -104.17     45.68    158.05    -39.65    -84.74   -192.58     45.40   -232.81    129.14     38.71     83.58    219.62    170.94      2.45    314.74      8.56      6.06    144.11    237.97    195.03     44.70     16.69    119.94    -32.72    107.66    310.23   -120.12     -8.55   -131.70    247.98      1.91     10.48    -61.57    210.82   -112.82    116.52    185.20    318.37    190.16     95.52    188.56    -79.81     83.85    -51.25     47.07   -126.78   -166.42    -75.18    -76.62     79.38    -15.90    -47.51    -63.16    -84.52     86.47     24.49     75.86    -91.45   -131.30     42.85    -42.00    364.01    135.12    -95.59      4.09     85.90     48.66    341.98     53.60     59.37    -38.90     77.55     54.81    -48.86     42.16
       29.58    -35.29   -121.00   -191.98    310.88    177.67    -56.79   -109.70     44.91    161.69    -37.86    -86.16   -192.75     41.76   -233.01    136.45     42.16     72.91    221.81    169.51     -3.95    312.89      9.25      6.56    144.51    240.77    192.48     43.42     19.21    118.73    -31.71    108.14    313.00   -115.70     -7.90   -131.26    249.31      4.80     13.18    -62.03    210.48   -114.00    116.53    180.59    316.56    184.04     95.49    182.43    -81.33     87.56    -47.43     41.99   -126.73   -161.71    -73.00    -79.55     79.73    -11.03    -38.17    -64.56    -86.73     86.00     18.46     77.96    -94.58   -136.18     43.77    -43.98    369.30    134.63    -95.20      3.81     86.85     47.40    344.94     51.57     61.14    -35.68     76.22     54.38    -53.52     45.18
       29.50    -28.93   -120.70   -194.27    306.54    176.63    -55.68   -107.54     46.15    164.28    -34.99    -85.51   -195.67     37.27   -228.32    135.44     44.30     73.60    220.87    166.60     -6.16    310.68      3.36      9.88    141.92    236.83    189.74     40.49     20.52    120.43    -24.76    110.03    312.75   -112.70    -10.91   -131.31    245.56      6.31     11.36    -66.09    210.60   -121.94    114.82    179.66    316.63    181.81     98.71    176.73    -80.19     91.95    -48.25     46.66   -126.18   -163.77    -69.29    -80.32     78.24    -11.17    -37.50    -55.16    -87.59     92.19     23.67     82.80    -91.35   -134.52     48.18    -42.52    367.13    136.01    -96.25      1.98     94.72     49.32    346.88     47.09     63.42    -37.61     74.13     55.69    -49.00     48.68
       29.60    -25.09   -122.99   -194.10    305.63    175.61    -50.60   -104.19     44.70    165.45    -33.02    -87.84   -193.75     39.46   -228.53    134.81     52.47     70.09    233.56    166.33      0.89    309.10      6.08     10.35    142.43    241.24    191.10     43.40     14.26    123.62    -20.51    103.55    315.00   -112.73    -13.23   -139.17    243.65      5.57     13.14    -60.45    208.07   -124.03    121.64    183.92    313.23    176.50     98.57    179.94    -85.36     92.17    -46.31     47.82   -117.88   -160.56    -75.40    -77.64     77.94     -7.92    -36.30    -58.37    -92.25     90.96     24.99     73.97    -86.77   -133.69     43.40    -50.08    369.11    138.67    -98.84     -2.55    100.30     56.75    351.57     50.96     62.44    -36.12     70.58     58.32    -50.27     50.08
       29.62    -25.34   -121.05   -196.91    307.89    181.85    -51.10   -103.20     48.58    169.57    -38.79    -83.34   -200.05     36.59   -228.21    129.51     55.38     67.68    235.82    166.13     -4.24    311.78      2.91      7.84    136.14    233.06    186.77     44.14     13.82    124.35    -25.22    106.01    312.47   -119.12    -10.79   -136.43    243.51      3.41     16.33    -64.51    205.25   -129.65    118.81    188.59    309.77    170.26    101.82    182.95    -86.49    100.50    -52.28     39.80   -116.10   -158.01    -79.88    -79.02     78.49     -6.77    -39.82    -59.72    -91.11     94.64     25.93     76.36    -89.49   -130.49     40.81    -50.14    371.37    138.98    -97.75     -4.84    104.41     54.99    354.14     47.89     65.56    -32.00     64.60     55.57    -50.37     49.28
       29.64    -26.79   -125.28   -194.65    307.14    182.29    -48.85   -103.98     51.07    174.53    -37.00    -87.85   -200.07     30.54   -225.36    128.91     53.88     67.47    234.04    168.20     -6.47    313.98     -1.57     15.24    138.00    239.07    188.86     47.62     17.65    124.39    -19.97    102.11    313.27   -124.21     -8.05   -140.46    244.46      5.29     21.40    -56.42    210.40   -127.61    118.47    188.00    312.57    171.33    100.41    183.10    -88.04     93.87    -45.91     33.91   -116.13   -158.43    -78.60    -77.17     77.82     -5.30    -38.34    -58.21    -92.22     91.76     27.19     73.89    -88.84   -128.73     40.16    -49.06    371.56    136.29    -99.32     -8.47    109.50     54.97    351.68     45.53     65.04    -28.87     63.66     52.74    -52.49     44.85
       29.66    -25.80   -123.72   -199.03    306.10    184.06    -44.72    -99.32     56.77    174.08    -39.35    -89.47   -198.46     30.42   -226.65    126.24     52.23     74.88    237.57    171.24     -9.06    315.59     -8.42     10.55    141.16    234.20    195.28     53.59     18.33    121.13    -15.80    101.09    316.80   -121.95     -9.87   -141.44    246.15     14.38     25.85    -59.51    215.81   -122.39    119.17    181.07    312.42    172.30    105.26    178.46    -83.01     97.61    -48.90     33.18   -111.45   -155.30    -83.25    -79.86     80.85     -2.14    -38.07    -61.63    -88.81     94.63     25.80     77.88    -87.13   -130.23     35.60    -57.36    376.51    140.06   -102.61    -10.53    115.83     55.88    351.72     42.27     69.97    -31.06     61.65     47.58    -52.76     48.74
       29.68    -29.39   -120.22   -197.24    303.63    186.60    -44.16    -98.44     59.99    176.31    -38.76    -90.65   -201.48     29.51   -227.78    125.32     47.74     71.47    235.22    173.19    -11.46    315.03     -5.04     12.79    140.60    233.95    188.75     55.30     17.90    124.43    -17.71     95.08    313.73   -122.99     -7.96   -139.42    245.15     12.56     18.55    -57.31    218.15   -128.40    119.70    188.94    319.35    162.32    105.81    183.41    -81.88    104.12    -47.03     33.50   -116.15   -153.12    -79.52    -78.58     73.75     -7.50    -40.03    -63.09    -86.12     87.52     28.02     77.91    -93.66   -131.16     36.19    -57.27    378.76    138.40   -105.07     -8.53    115.24     58.15    353.33     44.95     67.13    -36.58     63.51     46.03    -46.00     50.36
       29.70    -27.23   -122.57   -197.24    304.63    181.97    -41.86    -97.50     64.74    179.83    -41.83    -92.85   -198.97     29.35   -229.18    127.18     47.99     69.30    234.06    177.81    -19.38    312.07    -13.27     11.64    145.53    230.26    186.56     62.93     15.23    124.13    -19.26     92.43    314.32   -126.69     -7.21   -141.96    242.94     10.43     17.33    -53.47    218.10   -125.37    121.34    186.01    320.38    161.39    102.13    184.92    -80.47     98.43    -47.73     36.62   -121.38   -154.97    -79.50    -76.73     73.17     -0.77    -36.83    -65.61    -85.56     81.37     24.70     80.20    -91.99   -133.53     38.51    -56.38    379.66    138.22   -101.77     -3.38    116.00     54.94    350.14     47.53     69.87    -34.78     66.11     47.23    -45.76     48.92
       29.72    -29.15   -115.43   -195.12    304.78    179.96    -42.87    -97.75     55.80    180.28    -44.77    -86.70   -194.47     26.06   -235.97    126.66     45.92     70.77    234.39    180.35    -24.76    317.82    -11.95     12.75    148.18    230.90    182.47     63.33     12.30    124.31    -11.11     87.45    307.33   -123.65     -5.20   -142.81    242.38      9.98     19.48    -55.55    215.75   -125.01    123.21    179.86    321.17    156.97     99.27    187.00    -75.91     98.95    -45.70     30.64   -120.57   -161.16    -76.76    -76.41     64.85      0.05    -36.40    -63.01    -78.09     78.79     27.07     80.62    -96.93   -134.78     39.06    -58.42    378.62    130.59   -103.31     -3.97    118.55     55.34    350.74     50.37     68.73    -36.52     69.42     48.68    -45.47     45.51
       29.74    -25.33   -122.46   -196.84    303.06    180.16    -47.34    -88.21     57.00    177.68    -40.72    -90.00   -193.30     27.44   -234.62    122.45     42.30     69.06    232.61    177.20    -27.63    315.58    -11.87      3.55    150.81    233.42    183.86     66.04     17.51    122.64    -16.33     89.83    303.94   -130.69      0.25   -142.26    244.77     12.43     23.58    -58.99    215.94   -126.06    122.53    181.99    322.87    155.42    102.78    181.65    -71.47    101.99    -41.84     35.12   -121.58   -163.67    -78.32    -70.14     67.00      1.28    -35.69    -71.72    -77.99     78.63     26.15     83.64    -95.56   -133.04     40.46    -71.05    381.28    125.05    -98.30      1.40    116.32     55.36    352.49     46.32     67.65    -30.06     70.58     48.34    -46.16     48.27
       29.76    -21.61   -119.46   -193.35    300.03    179.99    -50.19    -85.91     55.49    175.63    -38.13    -87.19   -190.39     34.38   -234.53    121.58     39.74     70.37    233.46    182.00    -24.38    307.75    -10.90      0.57    157.11    240.28    185.61     71.71     17.59    128.89    -17.93     86.02    306.09   -127.38      6.44   -145.79    246.14     13.68     23.14    -61.31    217.21   -126.65    120.89    179.18    323.54    148.57    100.88    180.46    -69.10     99.53    -44.31     37.67   -117.26   -162.57    -77.05    -68.87     66.77      0.28    -32.48    -74.03    -73.43     74.89     29.55     82.08    -93.05   -136.65     44.78    -77.65    380.72    127.39    -99.43      5.98    120.18     53.20    348.58     41.24     63.72    -33.88     65.65     48.37    -47.95     51.90
       29.78    -27.51   -117.73   -193.95    297.85    183.43    -43.30    -85.24     51.36    171.87    -36.62    -88.02   -194.98     37.84   -231.61    127.16     40.25     72.65    232.56    181.46    -22.46    312.15    -15.01     -3.05    150.12    242.84    180.42     75.74     15.24    127.72    -18.78     82.82    306.22   -124.30      4.90   -145.52    244.17     12.71     19.49    -63.93    217.17   -124.73    128.69    175.23    327.02    150.68     98.91    178.20    -68.84    104.94    -44.20     33.98   -115.62   -162.98    -75.52    -69.20     70.66      5.99    -35.71    -77.47    -66.20     68.04     31.77     82.19    -90.02   -132.21     48.83    -77.39    382.26    129.06   -101.54      5.20    116.05     48.12    354.60     42.86     65.17    -37.23     64.36     42.86    -52.58     45.72
       29.80    -21.29   -118.01   -195.27    298.27    179.49    -38.56    -81.79     50.53    172.92    -38.87    -84.83   -191.71     43.08   -226.92    125.75     43.80     68.23    232.60    180.53    -18.06    311.88    -15.82      0.39    145.75    243.07    177.62     78.02     20.37    126.99    -19.42     85.53    305.52   -126.28     -1.60   -137.35    245.79     13.63     19.18    -63.04    211.55   -122.36    128.59    176.47    320.72    146.16    101.66    179.46    -64.76    107.12    -44.42     31.17   -111.42   -165.51    -76.56    -66.64     79.32      6.01    -24.76    -74.57    -65.49     61.90     34.25     81.40    -93.61   -138.56     47.94    -74.66    382.71    130.49   -101.45      7.37    119.66     52.80    352.66     38.96     66.27    -41.16     62.53     45.97    -51.63     44.14
       29.82    -19.41   -118.90   -198.60    295.48    177.89    -41.71    -81.88     48.10    170.39    -33.23    -84.70   -189.98     37.46   -231.14    122.38     47.74     71.99    230.93    178.92    -17.30    314.38    -16.07      3.23    149.56    243.39    175.82     81.88     22.77    126.08    -19.48     84.86    306.87   -129.18     -2.35   -135.01    247.25     11.42     23.05    -63.32    212.10   -122.17    123.87    174.18    322.97    148.37    101.62    180.46    -66.96    110.60    -45.33     31.49   -109.79   -161.93    -76.45    -68.33     82.29      1.69    -18.05    -81.43    -64.86     63.08     37.70     79.11    -96.32   -135.52     45.01    -78.87    387.32    131.80   -102.35     10.07    117.09     52.52    353.56     41.86     65.12    -46.44     65.57     38.98    -48.45     45.94
       29.84    -23.28   -115.97   -201.89    292.91    179.86    -36.34    -86.83     48.66    173.15    -31.70    -86.59   -186.33     32.34   -231.30    114.22     44.60     68.37    225.55    172.66    -17.04    316.11    -15.24     -0.61    147.85    245.06    181.19     80.71     26.66    122.18    -15.14     79.25    310.01   -125.87     -3.94   -135.07    245.56     12.88     18.94    -62.21    212.02   -119.29    126.18    173.70    324.48    145.46    101.62    177.75    -60.92    113.71    -45.08     33.13   -106.01   -164.53    -75.06    -64.46     78.87      4.16    -15.40    -79.32    -67.38     62.06     37.71     74.24   -102.43   -130.18     45.82    -73.36    387.85    131.02   -106.24     10.26    111.68     53.26    353.10     46.67     63.35    -47.41     69.07     37.49    -46.63     46.62
       29.86    -22.58   -115.79   -203.64    286.07    185.23    -39.22    -88.13     52.67    168.49    -33.54    -86.38   -187.58     33.75   -238.01    114.34     49.11     70.92    224.51    170.47    -12.93    318.38    -17.17      0.64    149.37    243.48    179.43     84.50     32.45    120.08    -16.25     77.87    301.08   -120.04      3.01   -129.29    244.77      6.14     12.95    -62.51    206.36   -112.50    117.11    168.39    322.58    149.50    101.51    171.30    -61.96    114.73    -47.91     29.32   -107.01   -165.58    -77.00    -69.85     79.16     -3.13    -19.54    -76.97    -66.45     63.47     41.27     71.50   -100.22   -134.63     50.64    -67.31    387.54    132.53   -101.41      7.85    113.01     50.50    356.47     43.53     69.82    -48.13     71.38     39.25    -46.52     44.22
       29.88    -18.10   -113.16   -207.14    277.43    188.23    -36.82    -89.57     54.15    170.85    -33.75    -89.61   -193.72     31.55   -231.63    109.61     50.46     71.18    228.06    168.43    -18.34    318.29    -13.00     -0.92    145.59    246.25    178.67     89.81     31.95    122.55    -17.69     82.06    299.56   -122.24      0.51   -124.63    249.99      1.03     19.92    -58.93    210.19   -108.78    113.25    166.64    320.32    149.96    100.20    175.47    -59.40    111.89    -51.34     27.58   -101.58   -162.64    -80.49    -73.56     75.77     -2.95    -18.12    -82.23    -63.42     65.03     39.40     72.73   -101.45   -136.00     47.63    -64.19    382.38    133.38    -98.52     10.87    112.94     50.21    352.57     42.31     75.50    -45.05     68.93     42.34    -42.76     51.77
